INFO:root:FileData(name='All Users', extension='', is_directory=True, parent_directory='C:/Users/')
INFO:root:FileData(name='Century Schoolbook', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Comic Sans MS Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Comic Sans MS Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Comic Sans MS Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Comic Sans MS', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Consolas Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Consolas Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Consolas Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Consolas', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Constantia Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Constantia Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Constantia Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Constantia', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Corbel Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Corbel Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Corbel Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Corbel', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Courier New Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Courier New Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Courier New Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Courier New', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Book Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Book Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Book Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Book', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Demi Cond Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Demi Cond', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Demi Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Demi', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Heavy Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Heavy', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Medium Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Medium Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Medium Cond Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Medium Cond Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Medium Cond Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Medium Cond', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Medium Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Franklin Gothic Medium', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Garamond Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Garamond Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Garamond Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Garamond', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Georgia Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Georgia Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Georgia Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Georgia', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Impact Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Impact', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Lucida Sans Unicode Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
